City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lihue,21.9789,-159.3672,26.77,72,0,6.69,US,1720241177
1,olonkinbyen,70.9221,-8.7187,1.4,93,100,5.02,SJ,1720241249
2,bredasdorp,-34.5322,20.0403,8.01,77,100,2.22,ZA,1720241250
3,puerto natales,-51.7236,-72.4875,-6.51,90,36,1.39,CL,1720241251
4,ushuaia,-54.8,-68.3,-2.19,86,75,2.57,AR,1720241252
5,magadan,59.5667,150.8,13.15,83,100,2.15,RU,1720240975
6,lubao,14.9167,120.55,31.04,64,67,1.96,PH,1720241255
7,juneau,58.3019,-134.4197,13.0,94,100,1.54,US,1720240982
8,puerto ayora,-0.7393,-90.3518,21.42,97,17,0.89,EC,1720241258
9,khovd,48.0056,91.6419,25.71,20,17,3.47,MN,1720241260
10,keflavik,64.0049,-22.5624,8.95,71,0,8.23,IS,1720241261
11,invercargill,-46.4,168.35,9.45,79,94,7.15,NZ,1720241262
12,minas de marcona,-15.2119,-75.1103,10.6,92,65,3.64,PE,1720241263
13,manavalakurichi,8.1333,77.3,29.36,72,100,6.7,IN,1720241265
14,yanchep,-31.55,115.6833,16.64,45,98,8.05,AU,1720241266
15,adamstown,-25.066,-130.1015,20.2,69,100,9.47,PN,1720241267
16,waitangi,-43.9535,-176.5597,7.12,78,88,1.34,NZ,1720241268
17,tralee,52.2704,-9.7026,9.43,89,28,4.33,IE,1720241269
18,kerikeri,-35.2268,173.9474,12.73,84,26,0.89,NZ,1720241271
19,rabaul,-4.1967,152.1721,24.55,93,100,6.35,PG,1720241272
20,margaret river,-33.95,115.0667,14.44,62,100,11.5,AU,1720241191
21,troy,42.6056,-83.1499,20.31,91,100,0.0,US,1720241274
22,sao joao da barra,-21.6403,-41.0511,20.93,87,0,4.53,BR,1720241275
23,sadovoye,47.7764,44.5089,32.5,29,45,5.31,RU,1720241277
24,linkou,45.3,130.2833,27.73,65,31,1.09,CN,1720241278
25,ilulissat,69.2167,-51.1,11.01,43,3,8.23,GL,1720241279
26,saipan,15.1355,145.701,31.39,74,40,6.69,MP,1720241280
27,zeya,53.75,127.2667,31.75,25,27,3.48,RU,1720241281
28,geraldton,-28.7667,114.6,18.23,42,100,12.86,AU,1720241283
29,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,67,20,7.0,RU,1720241156
30,georgetown,5.4112,100.3354,31.97,55,20,2.06,MY,1720241163
31,appenzell,47.331,9.41,17.75,81,71,2.44,CH,1720241286
32,longyearbyen,78.2186,15.6401,4.91,81,75,5.66,SJ,1720241287
33,poronaysk,49.2167,143.1167,12.01,98,100,2.59,RU,1720241289
34,san martin,-33.081,-68.4681,3.3,38,5,2.6,AR,1720241290
35,utrik,11.2278,169.8474,27.79,83,48,8.59,MH,1720241291
36,college,64.8569,-147.8028,16.16,82,100,0.89,US,1720241292
37,grand island,40.925,-98.342,19.16,83,20,2.57,US,1720241293
38,camayenne,9.535,-13.6878,25.82,83,98,2.28,GN,1720241294
39,carnarvon,-24.8667,113.6333,20.58,41,0,8.58,AU,1720241296
40,hammerfest,70.6634,23.6821,13.25,100,100,1.03,NO,1720241254
41,remire-montjoly,4.9167,-52.2667,24.02,100,0,1.03,GF,1720241298
42,karratha,-20.7377,116.8463,19.54,29,1,6.2,AU,1720241299
43,iqaluit,63.7506,-68.5145,2.85,93,100,1.54,CA,1720241300
44,mogadishu,2.0371,45.3438,25.93,83,40,7.72,SO,1720241206
45,tura,25.5198,90.2201,27.78,83,100,2.32,IN,1720241303
46,west island,-12.1568,96.8225,27.99,78,75,5.14,CC,1720241304
47,papatowai,-46.5619,169.4708,7.91,78,73,8.0,NZ,1720241305
48,sola,-13.8833,167.55,25.5,73,99,11.27,VU,1720241306
49,bel ombre,-4.6167,55.4167,25.91,89,75,0.51,SC,1720241307
50,port-aux-francais,-49.35,70.2167,2.1,96,95,17.58,TF,1720241309
51,luderitz,-26.6481,15.1594,18.67,25,4,4.39,NA,1720241310
52,general levalle,-34.0147,-63.9241,0.35,41,0,3.33,AR,1720241311
53,fada,7.25,4.0667,22.23,99,98,0.98,NG,1720241312
54,grytviken,-54.2811,-36.5092,-5.15,76,84,0.56,GS,1720241313
55,mount isa,-20.7333,139.5,27.87,47,40,6.17,AU,1720241315
56,anadyr,64.75,177.4833,17.28,67,75,8.0,RU,1720241316
57,portage la prairie,49.9728,-98.2926,18.83,54,6,3.03,CA,1720241317
58,albany,42.6001,-73.9662,24.4,94,100,0.45,US,1720241318
59,bethel,41.3712,-73.414,23.97,89,83,0.45,US,1720241319
60,polokwane,-23.9045,29.4688,7.47,34,0,6.17,ZA,1720241320
61,murzuq,25.9155,13.9184,26.81,31,0,3.74,LY,1720241322
62,akureyri,65.6835,-18.0878,5.96,87,100,0.51,IS,1720241323
63,kanniyakumari,8.0833,77.5667,29.36,68,100,8.67,IN,1720241325
64,aasiaat,68.7098,-52.8699,2.03,73,0,4.19,GL,1720241327
65,vorgashor,67.5833,63.95,15.61,54,6,2.24,RU,1720241328
66,barah,13.7,30.3667,29.11,51,75,7.14,SD,1720241329
67,hermanus,-34.4187,19.2345,6.56,65,98,2.78,ZA,1720241330
68,edinburgh of the seven seas,-37.0676,-12.3116,8.26,60,77,13.3,SH,1720241331
69,villa gesell,-37.2639,-56.973,4.13,85,10,5.69,AR,1720241333
70,sitka,57.0531,-135.33,12.74,79,44,1.83,US,1720241334
71,arzgir,45.3728,44.2206,31.31,27,42,1.82,RU,1720241335
72,levuka,50.1834,-105.4011,13.9,65,84,1.9,CA,1720241336
73,whitehorse,60.7161,-135.0538,17.43,42,75,7.2,CA,1720241100
74,port-gentil,-0.7193,8.7815,23.31,83,51,4.11,GA,1720241338
75,songea,-10.6833,35.65,15.76,65,5,0.47,TZ,1720241341
76,blackmans bay,-43.0167,147.3167,12.63,67,2,0.89,AU,1720241342
77,port mathurin,-19.6833,63.4167,22.78,67,81,8.58,MU,1720241343
78,ribeira grande,38.5167,-28.7,20.99,88,6,3.13,PT,1720241344
79,carauari,-4.8828,-66.8958,21.92,98,84,1.02,BR,1720241346
80,atafu village,-8.5421,-172.5159,28.45,76,94,7.73,TK,1720241347
81,talnakh,69.4865,88.3972,6.58,83,100,2.65,RU,1720241348
82,yellowknife,62.456,-114.3525,17.29,63,75,2.57,CA,1720241349
83,krasnyy chikoy,50.3643,108.7512,27.88,49,91,0.9,RU,1720241350
84,punta arenas,-53.15,-70.9167,-7.94,93,20,1.03,CL,1720241352
85,boa vista,2.8197,-60.6733,24.99,94,20,0.51,BR,1720241353
86,chipinge,-20.1883,32.6236,10.7,51,0,1.37,ZW,1720241354
87,tiksi,71.6872,128.8694,3.43,83,52,4.35,RU,1720241355
88,fort mcmurray,56.7268,-111.381,19.77,63,0,1.54,CA,1720241357
89,ambovombe,-25.1667,46.0833,17.2,72,0,3.07,MG,1720241358
90,juquitiba,-23.9317,-47.0683,19.65,99,28,1.99,BR,1720241359
91,mtambile,-5.3833,39.7,25.77,72,19,4.24,TZ,1720241360
92,dudinka,69.4058,86.1778,5.88,87,100,5.21,RU,1720241347
93,fale old settlement,-9.3852,-171.2468,28.56,78,100,6.72,TK,1720241362
94,st. john's,47.5649,-52.7093,16.27,86,100,8.23,CA,1720241190
95,kotma,23.2,81.9667,30.34,60,95,5.78,IN,1720241365
96,cabanatuan city,15.4833,120.9667,34.04,51,96,4.13,PH,1720241366
97,tolanaro,-25.0319,46.9987,18.82,75,0,1.83,MG,1720241367
98,kapuskasing,49.4169,-82.4331,16.05,88,20,1.54,CA,1720241368
99,cururupu,-1.8283,-44.8683,23.11,93,64,0.85,BR,1720241370
100,chhor,25.5167,69.7667,34.89,50,100,9.42,PK,1720241372
101,aripuana,-9.1667,-60.6333,23.74,60,20,1.29,BR,1720241374
102,quellon,-43.1167,-73.6167,6.2,91,100,5.95,CL,1720241376
103,glen innes,-29.7333,151.7333,10.14,75,40,5.1,AU,1720241377
104,moju,-1.8839,-48.7689,21.86,99,47,0.64,BR,1720241378
105,ilam,26.9167,87.9167,21.86,98,100,0.41,NP,1720241379
106,saint ann's bay,18.4358,-77.201,26.73,81,100,2.52,JM,1720241380
107,iskateley,67.6803,53.1512,20.27,53,71,9.17,RU,1720241383
108,benidorm,38.5382,-0.131,24.24,69,9,1.73,ES,1720241384
109,prado,-17.3411,-39.2208,23.06,90,54,3.16,BR,1720241385
110,tshikapa,-6.4167,20.8,18.69,37,3,1.14,CD,1720241386
111,danville,36.586,-79.395,24.32,94,0,1.54,US,1720241388
112,suicheng,33.8963,117.9331,31.81,68,86,6.62,CN,1720241389
113,mugia,43.1041,-9.2179,16.76,85,100,5.75,ES,1720241390
114,tondano,1.3038,124.9112,23.05,82,76,2.39,ID,1720241391
115,port alfred,-33.5906,26.891,12.32,64,85,2.24,ZA,1720241392
116,plastun,44.7561,136.2939,15.7,99,100,1.4,RU,1720241394
117,timimoun,29.2639,0.231,34.21,11,0,5.14,DZ,1720241395
118,ust-nera,64.5667,143.2,8.53,91,100,3.72,RU,1720241396
119,azadshahr,34.7909,48.5707,23.27,31,20,1.03,IR,1720241397
120,mejit,10.2753,170.8646,27.88,83,11,8.81,MH,1720241398
121,dzhalagash,45.0833,64.6667,31.23,30,0,3.88,KZ,1720241400
122,neryungri,56.6709,124.6491,20.66,35,5,4.18,RU,1720241401
123,el galpon,-25.3807,-64.6526,9.97,41,99,0.39,AR,1720241402
124,kodinsk,58.6881,99.1844,29.23,25,11,3.27,RU,1720241403
125,east london,-33.0153,27.9116,13.52,47,75,6.69,ZA,1720241404
126,nouadhibou,20.931,-17.0347,21.99,73,13,5.14,MR,1720241406
127,tamanrasset,22.785,5.5228,28.95,10,0,4.12,DZ,1720241407
128,tyukhtet,56.5389,89.3011,22.74,77,88,0.96,RU,1720241408
129,jiquipilas,16.6667,-93.65,21.17,98,45,1.33,MX,1720241410
130,nha trang,12.25,109.1833,32.0,69,98,1.23,VN,1720241411
131,al burayqah,30.4062,19.5739,24.99,65,0,4.82,LY,1720241412
132,la foa,-21.7108,165.8276,21.29,59,11,8.89,NC,1720241413
133,vedaraniyam,10.3667,79.85,28.9,73,100,3.97,IN,1720241414
134,champerico,14.3,-91.9167,27.62,81,85,2.94,GT,1720241416
135,los altos,37.3852,-122.1141,24.04,66,0,3.6,US,1720241361
136,cajabamba,-7.6167,-78.05,10.29,85,96,2.16,PE,1720241418
137,kavaratti,10.5669,72.642,28.19,85,100,7.3,IN,1720241419
138,vanimo,-2.6741,141.3028,29.18,68,100,2.44,PG,1720241420
139,pyt-yakh,60.7499,72.8582,21.05,44,13,5.97,RU,1720241422
140,neuenstadt am kocher,49.2353,9.3303,17.08,86,55,1.04,DE,1720241423
141,kruisfontein,-34.0033,24.7314,9.38,67,4,2.74,ZA,1720241424
142,vavuniya,8.7514,80.4971,32.88,47,95,4.51,LK,1720241425
143,centerville,39.6284,-84.1594,21.62,94,0,2.8,US,1720241426
144,polyarnyy,69.1989,33.4478,16.15,92,100,5.74,RU,1720241428
145,lerwick,60.1545,-1.1494,10.0,91,98,3.43,GB,1720241430
146,tremp,42.167,0.8949,18.61,88,98,1.86,ES,1720241431
147,wailua homesteads,22.0669,-159.378,26.44,75,0,6.69,US,1720241432
148,qaqortoq,60.7167,-46.0333,5.78,93,100,1.56,GL,1720241434
149,stanley,54.868,-1.6985,9.17,90,20,2.06,GB,1720241436
150,gaurnadi,22.9667,90.2333,32.22,63,99,5.12,BD,1720241437
151,margate,51.3813,1.3862,16.61,90,100,0.89,GB,1720241439
152,coquimbo,-29.9533,-71.3436,8.88,84,44,1.36,CL,1720241440
153,lebu,-37.6167,-73.65,6.99,78,91,7.86,CL,1720241441
154,hotan,37.0997,79.9269,30.11,18,100,4.43,CN,1720241442
